"inputIp","seeHttp","yResultLabel"
"1.1.20.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.1.64.0/18",,"vpn"
"1.1.128.0/17",,"vpn"
"1.2.11.0/24",,"vpn"
"1.3.33.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.3.200.0/24",,"vpn"
"1.4.128.0/17",,"vpn"
"1.6.128.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.6.140.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.6.160.0/19",,"vpn"
"1.6.230.0/24",,"vpn"
"1.7.144.0/22",,"vpn"
"1.10.128.0/17","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.11.88.0/22",,"vpn"
"1.11.92.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.11.96.0/19","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.18.130.0/24",,"vpn"
"1.20.63.0/24",,"vpn"
"1.20.124.0/24",,"vpn"
"1.21.0.0/16",,"vpn"
"1.22.12.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.22.69.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.22.184.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.22.208.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.22.210.0/24",,"vpn"
"1.23.68.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.23.84.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.23.124.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.23.194.0/23",,"vpn"
"1.23.212.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.23.220.0/24",,"vpn"
"1.23.245.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.24.236.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.25.36.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.28.96.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.30.52.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.30.56.0/21",,"vpn"
"1.30.176.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.31.64.0/18","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.32.218.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.32.229.0/24",,"vpn"
"1.32.234.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"1.32.244.0/24",,"vpn"
"1.32.248.0/23",,"vpn"
"1.38.202.0/23",,"vpn"
"1.38.208.0/24",,"vpn"
"1.38.209.0/24",,"vpn"
"1.38.210.0/23",,"vpn"
"1.39.4.0/22",,"vpn"
"1.39.8.0/21",,"vpn"
"1.39.80.0/21",,"vpn"
"1.39.100.0/22",,"vpn"
"1.39.112.0/22",,"vpn"
"1.44.0.0/18",,"vpn"
"1.45.0.0/16",,"vpn"
"1.50.0.0/16",,"vpn"
"1.52.0.0/14",,"vpn"
"1.66.32.0/19",,"vpn"
