inputIp,inetnum,netname,descr,adminC,techC,remarks,country,mntIrt,mntBy,mntLower,status,lastModified,source,irt,address,eMail,abuseMailbox,auth,role,phone,faxNo,nicHdl,yResultLabel,person,changed,note,created,route,origin,org,abuseC,organisation,orgName,orgType,mntRef,geoloc,mntDomains,mntRoutes,availableAt,netRange,cidr,netName,netHandle,parent,netType,organization,regDate,updated,comment,ref,orgId,city,stateProv,postalCode,orgTechHandle,orgTechName,orgTechPhone,orgTechEmail,orgTechRef,orgNocHandle,orgNocName,orgNocPhone,orgNocEmail,orgNocRef,orgRoutingHandle,orgRoutingName,orgRoutingPhone,orgRoutingEmail,orgRoutingRef,orgAbuseHandle,orgAbuseName,orgAbusePhone,orgAbuseEmail,orgAbuseRef,originAs,language,rTechHandle,rTechName,rTechPhone,rTechEmail,rTechRef,rAbuseHandle,rAbuseName,rAbusePhone,rAbuseEmail,rAbuseRef,rnocHandle,rnocName,rnocPhone,rnocEmail,rnocRef,customer,custName,rwhoisV_1_0V_1_5,network,contact,rwhoisV_1_5,seeHttp,notify,referralRwhois,orgDnsHandle,orgDnsName,orgDnsPhone,orgDnsEmail,orgDnsRef
1.0.69.27,1.0.64.0 - 1.0.127.255 1.0.64.0 - 1.0.127.255,MEGAEGG MEGAEGG-CIDR-BLK-JP,"Energia Communications,Inc. 3-5-1, Futabanosato, Higashi-ku, Hiroshima-shi, Hiroshima 732-0057, Japan Energia Communications,Inc.",JNIC1-AP JNIC1-AP JI13-AP JP00076967,JNIC1-AP JNIC1-AP JE53-AP JP00065730,"Email address for spam or abuse complaints : abuse@ene.megaegg.ne.jp hostmaster@nic.ad.jp was validated on 2020-07-23 Email address for spam or abuse complaints : abuse@ene.megaegg.ne.jp This information has been partially mirrored by APNIC from JPNIC. To obtain more specific information, please use the JPNIC WHOIS Gateway at http://www.nic.ad.jp/en/db/whois/en-gateway.html or whois.nic.ad.jp for WHOIS client. (The WHOIS client defaults to Japanese output, use the /e switch for English output)",JP JP JP,IRT-JPNIC-JP,MAINT-JPNIC MAINT-JPNIC MAINT-JPNIC,MAINT-JPNIC,ALLOCATED PORTABLE,2017-04-05T09:52:01Z 2020-07-23T04:24:41Z 2012-08-28T07:58:02Z 2017-04-06T01:43:43Z,APNIC APNIC APNIC JPNIC,IRT-JPNIC-JP,"Urbannet-Kanda Bldg 4F, 3-6-2 Uchi-Kanda Chiyoda-ku, Tokyo 101-0047, Japan Urbannet-Kanda Bldg 4F 3-6-2 Uchi-Kanda Chiyoda-ku, Tokyo 101-0047,Japan",hostmaster@nic.ad.jp hostmaster@nic.ad.jp,hostmaster@nic.ad.jp,# Filtered,Japan Network Information Center,+81-3-5297-2311,+81-3-5297-2312,JNIC1-AP,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.236.132.203,1.234.0.0 - 1.255.255.255 1.234.0.0 - 1.255.255.255,broadNnet broadNnet-KR,SK Broadband Co Ltd SK Broadband Co Ltd,IM670-AP IM574-AP IM12-KR,IM670-AP IM574-AP IM12-KR,"irt@nic.or.kr was validated on 2020-04-09 This information has been partially mirrored by APNIC from KRNIC. To obtain more specific information, please use the KRNIC whois server at whois.kisa.or.kr.",KR KR KR KR,IRT-KRNIC-KR IRT-KRNIC-KR,MNT-KRNIC-AP MNT-KRNIC-AP MNT-KRNIC-AP MNT-KRNIC-AP MNT-KRNIC-AP,,ALLOCATED PORTABLE ALLOCATED PORTABLE,2017-02-03T00:38:09Z 2020-04-09T10:23:17Z 2019-11-02T02:14:21Z,APNIC APNIC APNIC KRNIC KRNIC,IRT-KRNIC-KR,Jeollanam-do Naju-si Jinheung-gil Seoul Jung-gu Toegye-ro 24 Seoul Jung-gu Toegye-ro 24 SK Namsan Green Bldg.,irt@nic.or.kr ip-adm@skbroadband.com ip-adm@skbroadband.com,irt@nic.or.kr,# Filtered,,+82-80-8282-106 +82-80-8282-106,,IM670-AP IM12-KR,vpn,IP Manager IP Manager,hostmaster@nic.or.kr hostmaster@nic.or.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.242.79.148,1.234.0.0 - 1.255.255.255 1.234.0.0 - 1.255.255.255,broadNnet broadNnet-KR,SK Broadband Co Ltd SK Broadband Co Ltd,IM670-AP IM574-AP IM12-KR,IM670-AP IM574-AP IM12-KR,"irt@nic.or.kr was validated on 2020-04-09 This information has been partially mirrored by APNIC from KRNIC. To obtain more specific information, please use the KRNIC whois server at whois.kisa.or.kr.",KR KR KR KR,IRT-KRNIC-KR IRT-KRNIC-KR,MNT-KRNIC-AP MNT-KRNIC-AP MNT-KRNIC-AP MNT-KRNIC-AP MNT-KRNIC-AP,,ALLOCATED PORTABLE ALLOCATED PORTABLE,2017-02-03T00:38:09Z 2020-04-09T10:23:17Z 2019-11-02T02:14:21Z,APNIC APNIC APNIC KRNIC KRNIC,IRT-KRNIC-KR,Jeollanam-do Naju-si Jinheung-gil Seoul Jung-gu Toegye-ro 24 Seoul Jung-gu Toegye-ro 24 SK Namsan Green Bldg.,irt@nic.or.kr ip-adm@skbroadband.com ip-adm@skbroadband.com,irt@nic.or.kr,# Filtered,,+82-80-8282-106 +82-80-8282-106,,IM670-AP IM12-KR,vpn,IP Manager IP Manager,hostmaster@nic.or.kr hostmaster@nic.or.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.56.140.0,2.56.140.0 - 2.56.140.255,NL-CC-01,Datacenter usage,NCST1-RIPE,NCST1-RIPE,,NL,,mnt-lv-ccsupport-1 mnt-lv-ccsupport-1 mnt-lv-ccsupport-1,,ASSIGNED PA,2019-03-19T11:36:19Z 2019-03-14T16:59:16Z 2019-03-15T11:15:41Z,RIPE RIPE # Filtered RIPE,,Brivibas iela 171 LV-1012 Riga,,,,NOC CC Support Team,+37128336658,,NCST1-RIPE,vpn,,,this output has been filtered.,2019-03-19T11:36:19Z 2019-03-14T16:59:16Z 2019-03-15T11:15:41Z,2.56.140.0/24,AS209231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.57.28.0,2.57.28.0 - 2.57.29.255,Hosting,,OH1783-RIPE,OH1783-RIPE,,CL,,us-hostwagon-1-mnt us-hostwagon-1-mnt us-hostwagon-1-mnt,,ASSIGNED PA,2020-03-17T08:36:51Z 2020-03-17T08:26:31Z 2019-05-27T07:10:39Z,RIPE RIPE RIPE,,109 E 17th St 25 82001 Cheyenne UNITED STATES,,,,,+1-307-313-3090,,OH1783-RIPE,vpn,Guillermo Jalil,,this output has been filtered.,2020-03-17T08:36:51Z 2018-09-13T07:10:28Z 2019-05-27T07:10:39Z,2.57.28.0/22,AS9009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.12,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.18,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.42,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.54,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.60,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
