inputIp,note,inetnum,netname,descr,country,adminC,techC,status,mntBy,created,lastModified,source,person,remarks,address,phone,nicHdl,route,origin,yResultLabel,org,geoloc,organisation,orgName,orgType,abuseC,mntRef,role,abuseMailbox,faxNo,mntLower,mntRoutes,mntDomains,availableAt,netRange,cidr,netName,netHandle,parent,netType,organization,regDate,updated,ref,orgId,city,stateProv,postalCode,comment,orgNocHandle,orgNocName,orgNocPhone,orgNocEmail,orgNocRef,orgAbuseHandle,orgAbuseName,orgAbusePhone,orgAbuseEmail,orgAbuseRef,orgTechHandle,orgTechName,orgTechPhone,orgTechEmail,orgTechRef,rwhoisV_1_0V_1_5,network,contact,originAs,orgRoutingHandle,orgRoutingName,orgRoutingPhone,orgRoutingEmail,orgRoutingRef,mntIrt,irt,eMail,auth,rwhoisV_1_5,customer,custName,rTechHandle,rTechName,rTechPhone,rTechEmail,rTechRef,rAbuseHandle,rAbuseName,rAbusePhone,rAbuseEmail,rAbuseRef,rnocHandle,rnocName,rnocPhone,rnocEmail,rnocRef,notify,language,orgDnsHandle,orgDnsName,orgDnsPhone,orgDnsEmail,orgDnsRef,referralRwhois,sponsoringOrg,memberOf,seeHttp
83.96.11.0,this output has been filtered.,83.96.0.0 - 83.96.28.255,FASTTELCO-CORP,FASTtelco Corporate Customers /30 FASTTELCO-TEC,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2013-04-07T10:12:32Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2006-10-29T10:03:24Z,2019-07-03T10:58:08Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-06-27T19:38:27Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/19,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.20.0,this output has been filtered.,83.96.0.0 - 83.96.28.255,FASTTELCO-CORP,FASTtelco Corporate Customers /30 FASTTELCO-TEC,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2013-04-07T10:12:32Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2006-10-29T10:03:24Z,2019-07-03T10:58:08Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-06-27T19:38:27Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/19,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.21.0,this output has been filtered.,83.96.0.0 - 83.96.28.255,FASTTELCO-CORP,FASTtelco Corporate Customers /30 FASTTELCO-TEC,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2013-04-07T10:12:32Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2006-10-29T10:03:24Z,2019-07-03T10:58:08Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-06-27T19:38:27Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/19,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.25.0,this output has been filtered.,83.96.0.0 - 83.96.28.255,FASTTELCO-CORP,FASTtelco Corporate Customers /30 FASTTELCO - FT Probe,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT,2013-04-07T10:12:32Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2013-04-10T13:03:10Z,2019-07-03T10:58:08Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2013-04-10T13:03:10Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.25.0/24,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.27.0,this output has been filtered.,83.96.0.0 - 83.96.28.255,FASTTELCO-CORP,FASTtelco Corporate Customers /30 FASTTELCO - FT Probe,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT,2013-04-07T10:12:32Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2013-04-10T13:05:07Z,2019-07-03T10:58:08Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2013-04-10T13:05:07Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.27.0/24,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.96.0,this output has been filtered.,83.96.96.0 - 83.96.127.255,FASTTELCO-WIMAX,FASTtelco WiMAX Corporate Customers /30,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT,2010-01-05T10:57:04Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2017-04-04T08:55:14Z,2019-07-03T11:28:39Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2017-04-04T08:55:14Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.96.0/24,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.109.0,this output has been filtered.,83.96.96.0 - 83.96.127.255,FASTTELCO-WIMAX,FASTtelco WiMAX Corporate Customers /30 FASTTELCO - Corp Range,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2010-01-05T10:57:04Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2010-06-23T19:28:52Z,2019-07-03T11:28:39Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-07-03T11:23:50Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/17,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.111.0,this output has been filtered.,83.96.96.0 - 83.96.127.255,FASTTELCO-WIMAX,FASTtelco WiMAX Corporate Customers /30 Combined Group-NATO,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT,2010-01-05T10:57:04Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2017-03-07T11:16:38Z,2019-07-03T11:28:39Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2017-03-07T11:21:10Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.111.0/24,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.113.0,this output has been filtered.,83.96.96.0 - 83.96.127.255,FASTTELCO-WIMAX,FASTtelco WiMAX Corporate Customers /30 FASTTELCO - Corp Range,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2010-01-05T10:57:04Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2010-06-23T19:28:52Z,2019-07-03T11:28:39Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-07-03T11:23:50Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/17,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.115.0,this output has been filtered.,83.96.96.0 - 83.96.127.255,FASTTELCO-WIMAX,FASTtelco WiMAX Corporate Customers /30 FASTTELCO - Corp Range,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2010-01-05T10:57:04Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2010-06-23T19:28:52Z,2019-07-03T11:28:39Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-07-03T11:23:50Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/17,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
