network,autonomous_system_number,autonomous_system_organization
2001:200::/37,2500,"WIDE Project"
2001:200:800::/40,2500,"WIDE Project"
2001:200:900::/40,7660,"Asia Pacific Advanced Network - Japan"
2001:200:a00::/39,2500,"WIDE Project"
2001:200:c00::/38,2500,"WIDE Project"
2001:200:1000::/36,2500,"WIDE Project"
2001:200:2000::/35,2500,"WIDE Project"
2001:200:4000::/34,2500,"WIDE Project"
2001:200:8000::/34,2500,"WIDE Project"
2001:200:c000::/35,23634,"WIDE Project"
2001:200:e000::/35,7660,"Asia Pacific Advanced Network - Japan"
2001:218::/35,2914,NTT-COMMUNICATIONS-2914
2001:218:2000::/39,2914,NTT-COMMUNICATIONS-2914
2001:218:2200::/40,18259,"NTT Communications Corporation"
2001:218:2300::/40,2914,NTT-COMMUNICATIONS-2914
2001:218:2400::/38,2914,NTT-COMMUNICATIONS-2914
2001:218:2800::/37,2914,NTT-COMMUNICATIONS-2914
2001:218:3000::/46,2914,NTT-COMMUNICATIONS-2914
2001:218:3004::/48,20940,"Akamai International B.V."
2001:218:3005::/48,2914,NTT-COMMUNICATIONS-2914
2001:218:3006::/47,2914,NTT-COMMUNICATIONS-2914
2001:218:3008::/45,2914,NTT-COMMUNICATIONS-2914
2001:218:3010::/44,2914,NTT-COMMUNICATIONS-2914
2001:218:3020::/43,2914,NTT-COMMUNICATIONS-2914
2001:218:3040::/42,2914,NTT-COMMUNICATIONS-2914
2001:218:3080::/41,2914,NTT-COMMUNICATIONS-2914
2001:218:3100::/40,2914,NTT-COMMUNICATIONS-2914
2001:218:3200::/39,2914,NTT-COMMUNICATIONS-2914
2001:218:3400::/38,2914,NTT-COMMUNICATIONS-2914
2001:218:3800::/37,2914,NTT-COMMUNICATIONS-2914
2001:218:4000::/34,2914,NTT-COMMUNICATIONS-2914
2001:218:8000::/33,2914,NTT-COMMUNICATIONS-2914
2001:240::/32,2497,"Internet Initiative Japan Inc."
2001:250::/31,23910,"China Next Generation Internet CERNET2"
2001:252::/32,23911,"China Next Generation Internet Beijing IX"
2001:254::/33,24489,"Trans-Eurasia Information Network (TEIN2) - North"
2001:254:8000::/33,24490,"Trans-Eurasia Information Network (TEIN2) - SG"
2001:256:100::/48,24367,"CERNET2 IX at Zhejiang University"
2001:258::/32,2510,"FUJITSU LIMITED"
2001:260::/32,2518,"BIGLOBE Inc."
